StudentID,Major,State,EFC,Year,FirstGen
4147053,Medicine,New Mexico,35308,2nd,0
5647008,Health Science,Vermont,0,3rd,1
8654601,Health Science,Nebraska,19165,3rd,0
7718335,Industrial Engineering,Illinois,23112,3rd,0
1596385,Veterinary Medicine,Nebraska,30115,4th+,0
8644920,Industrial Engineering,South Dakota,30781,2nd,0
2116421,Electrical Engineering,Alabama,0,3rd,1
5498993,Architecture,North Dakota,21711,4th+,0
5407020,Chemical Engineering,New York,0,4th+,1
9774514,Economics,Kansas,34687,4th+,1
9162921,Kinesiology,Iowa,14373,2nd,0
5692463,Theater Arts,Oklahoma,25684,4th+,0
1244468,Education,Alabama,33881,1st,0
8304567,Civil Engineering,Ohio,19121,2nd,0
1224637,Communication,North Dakota,24532,2nd,0
5919191,Philosophy,Missouri,19870,3rd,0
4569282,Information Technology,Wisconsin,7891,1st,1
8430459,Graphic Design,Minnesota,32012,1st,0
5210247,Information Technology,North Dakota,33110,4th+,0
3889618,Chemical Engineering,Louisiana,0,3rd,0
1091516,Chemistry,Michigan,26010,2nd,0
6914566,Physics,Indiana,11772,4th+,0
9891298,Hospitality Management,North Carolina,0,3rd,1
2226616,Political Science,Illinois,20991,3rd,0
5850376,Economics,Minnesota,16396,1st,0
4130349,Psychology,Minnesota,26967,3rd,0
3274305,Mathematics,Idaho,25815,2nd,1
4622816,History,North Dakota,0,3rd,0
3231428,Civil Engineering,Wisconsin,0,3rd,1
1502613,Electrical Engineering,Michigan,2364,4th+,1
7047870,Fine Arts,Nevada,17960,4th+,0
4122019,Business Administration,Minnesota,25056,1st,0
2915924,Philosophy,Idaho,13216,4th+,1
4956594,Health Science,New York,0,1st,1
2679873,Theater Arts,Iowa,7126,3rd,0
7809271,Industrial Engineering,Illinois,24096,3rd,0
5260130,Health Science,Missouri,4871,2nd,0
7520881,Biochemistry,Missouri,0,3rd,1
4003638,Marketing,Iowa,0,2nd,1
9634376,Education,Oregon,0,1st,1
9315616,Agriculture,Pennsylvania,13126,2nd,0
7614226,Environmental Science,Michigan,0,4th+,1
7556726,Computer Science,Minnesota,8093,3rd,0
3826521,Sociology,Nebraska,0,2nd,0
7704493,Business Administration,New York,26687,4th+,0
4224607,Biochemistry,Minnesota,0,2nd,1
1019182,Chemical Engineering,Kentucky,0,2nd,1
9966098,Economics,Nebraska,13205,3rd,1
8358832,Statistics,Nevada,8830,4th+,0
3962772,Kinesiology,Indiana,11435,1st,0
6662494,Architecture,Nebraska,3718,1st,1
8577898,Veterinary Medicine,Washington,13034,4th+,0
5700299,Biology,Wisconsin,8085,3rd,1
8575833,Agriculture,Wisconsin,12969,1st,1
1736040,Economics,Indiana,12860,2nd,0
3431431,Kinesiology,North Dakota,26850,4th+,0
9879076,English,South Dakota,31266,2nd,0
5142033,Pharmacy,North Carolina,20355,3rd,0
2005089,Marketing,Missouri,0,2nd,0
8433975,Nursing,Massachusetts,26960,4th+,0
2175740,Geography,Oregon,5911,4th+,1
2697860,Dentistry,South Dakota,16480,4th+,0
9308020,Agriculture,Washington,15409,2nd,0
2657585,Kinesiology,New York,0,4th+,1
1676147,Geography,North Dakota,18924,4th+,0
4628446,Physics,Massachusetts,17908,2nd,1
1865047,Accounting,Minnesota,0,1st,1
7705228,Fine Arts,Michigan,28390,2nd,0
9176032,Philosophy,Maryland,5448,4th+,0
4191534,Graphic Design,Kansas,0,1st,0
6448315,Kinesiology,Iowa,10690,2nd,0
1779775,History,South Carolina,8960,1st,0
8836675,Political Science,Kansas,16766,2nd,0
5511300,Accounting,South Carolina,17342,3rd,0
6431923,Geology,Maryland,0,4th+,0
6043021,Environmental Science,New York,15958,1st,0
1614906,Law,South Carolina,28320,2nd,1
9097830,Dentistry,Texas,8229,2nd,0
4256648,Education,Ohio,18606,1st,0
6363807,Zoology,Nebraska,6439,2nd,0
8246457,English,Iowa,24458,2nd,0
5671593,Hospitality Management,Delaware,27163,2nd,0
1883957,Dentistry,Arizona,16065,2nd,0
3488500,Information Technology,North Dakota,26618,2nd,0
8310625,Law,Iowa,11247,2nd,0
9169728,Criminal Justice,Illinois,9794,4th+,0
3157312,Theater Arts,Wisconsin,17453,1st,0
3377362,Social Work,South Dakota,0,3rd,1
2658421,Aerospace Engineering,Texas,19373,4th+,0
4568377,Forestry,South Dakota,10961,3rd,0
4037036,Physics,Kansas,0,1st,1
6653215,Chemical Engineering,South Carolina,21050,1st,0
9902509,Dance,Missouri,9012,1st,0
7631101,Philosophy,Arkansas,25932,1st,0
3658655,Forestry,Iowa,25187,2nd,0
1238837,Biochemistry,Nebraska,3653,1st,0
3921120,Economics,Iowa,18338,4th+,0
5743556,Geography,North Dakota,0,4th+,1
9524354,Nursing,Minnesota,4032,2nd,1
1958412,Veterinary Medicine,Michigan,15880,2nd,1
7660665,Nursing,South Dakota,18183,4th+,1
4386104,Criminal Justice,Missouri,0,2nd,0
2192288,Physics,Wisconsin,759,2nd,0
4741247,Psychology,Missouri,14519,3rd,0
5803624,Sociology,Massachusetts,12886,2nd,0
2444837,Hospitality Management,,0,4th+,0
6660837,Dentistry,Washington,27942,3rd,0
2354386,Veterinary Medicine,Wisconsin,0,3rd,1
7811419,Environmental Science,Ohio,14378,2nd,1
1550889,Religious Studies,Kansas,0,2nd,1
3231220,Dentistry,Missouri,10486,4th+,0
1638439,Sociology,Maine,11648,1st,0
9748539,Electrical Engineering,Kansas,12870,3rd,0
2189605,Agriculture,South Dakota,17724,1st,0
8071440,Criminal Justice,Mississippi,0,2nd,1
1805533,Economics,Iowa,32624,1st,0
3895723,Electrical Engineering,North Dakota,14897,4th+,0
6460985,English,Vermont,0,1st,1
8473227,Kinesiology,Kansas,0,4th+,1
3293255,Mechanical Engineering,Oregon,0,1st,1
2986985,Philosophy,Indiana,0,3rd,0
3953466,Sociology,Massachusetts,0,3rd,1
7046727,Chemical Engineering,Minnesota,11388,3rd,0
8185811,Fine Arts,North Carolina,16286,1st,1
3780894,Zoology,Tennessee,30272,1st,1
1916553,Fine Arts,Massachusetts,0,3rd,1
6364697,Criminal Justice,Nebraska,23078,2nd,0
9126633,Art History,South Dakota,14711,4th+,0
3322360,Classics,Nebraska,16205,4th+,0
4337122,Theater Arts,New York,23213,2nd,0
2322085,Communication,Virginia,0,3rd,1
8638042,Biochemistry,Mississippi,34842,2nd,0
5741698,Graphic Design,Illinois,20856,4th+,0
9648239,Social Work,Indiana,0,1st,1
1690607,Electrical Engineering,Missouri,22228,4th+,0
7296486,Mathematics,Wisconsin,31938,3rd,0
7736251,Fine Arts,Wisconsin,0,1st,1
9043377,Economics,Florida,28396,2nd,1
4628474,Electrical Engineering,Minnesota,10434,3rd,1
6559829,Electrical Engineering,Idaho,7130,4th+,0
1568636,Chemistry,North Dakota,26576,4th+,1
2387807,Nutrition,Illinois,28485,2nd,0
9915751,Nursing,North Carolina,23200,2nd,0
4760590,Statistics,Wisconsin,17727,2nd,0
4593516,Criminal Justice,Illinois,0,4th+,1
4433393,Pharmacy,Michigan,0,3rd,1
2033931,Law,Kansas,22098,3rd,1
5741655,Hospitality Management,Arizona,9214,2nd,1
7175622,Nutrition,New Hampshire,234,2nd,1
3954512,Computer Engineering,Ohio,0,1st,1
9030010,Social Work,Ohio,6552,4th+,0
9191053,Business Administration,North Dakota,0,1st,1
6304644,Software Engineering,Georgia,6691,2nd,0
1848729,Medicine,Nebraska,15194,1st,0
7268314,History,Louisiana,0,2nd,1
5950853,Veterinary Medicine,Kansas,9772,1st,0
8157168,Nutrition,Illinois,17450,2nd,0
8904950,Art History,Louisiana,5540,1st,0
8217704,Kinesiology,Florida,17880,1st,0
6394829,Information Technology,Idaho,5941,4th+,0
8797823,Social Work,Texas,0,1st,1
8140362,Geography,Arizona,16416,3rd,0
8369613,Marketing,South Dakota,6083,3rd,1
2541494,Hospitality Management,South Dakota,13548,4th+,0
8798552,Creative Writing,Washington,14007,4th+,0
4564531,Creative Writing,Indiana,0,3rd,1
5504453,Pharmacy,Minnesota,0,4th+,1
5107731,Aerospace Engineering,North Dakota,23115,2nd,0
3960425,Agriculture,Michigan,20856,3rd,0
9053395,Economics,Virginia,19726,4th+,0
7084031,Nursing,Nebraska,1174,4th+,0
7074411,Information Technology,Ohio,8447,1st,0
8188150,Religious Studies,Illinois,6041,3rd,0
3681430,Graphic Design,Ohio,8974,3rd,0
8648462,Journalism,Iowa,26041,1st,0
9228848,Business Administration,Virginia,13316,2nd,1
6191234,Nursing,South Dakota,20783,3rd,0
1317412,Philosophy,South Dakota,14608,1st,0
2648956,Agriculture,Indiana,20007,2nd,0
4049491,Journalism,Florida,19473,3rd,0
3789079,Information Technology,Nevada,0,1st,0
2966368,Computer Engineering,South Carolina,0,2nd,1
9349245,Health Science,New Mexico,25197,2nd,0
1513315,Computer Science,Delaware,23903,4th+,0
1548762,Agriculture,Pennsylvania,0,3rd,1
4979155,Law,Ohio,21290,2nd,0
8876760,Classics,Texas,0,1st,1
7830171,Creative Writing,Florida,0,2nd,1
7095339,Environmental Science,New York,27370,4th+,0
2590750,Industrial Engineering,Nebraska,25893,3rd,0
7938546,Architecture,Kansas,17211,1st,1
5053246,Art History,Wisconsin,6784,4th+,0
4872306,Biochemistry,Texas,13484,4th+,0
1060953,Hospitality Management,New Mexico,8090,3rd,1
7397454,Education,Colorado,21257,3rd,1
4788658,Mechanical Engineering,Oregon,0,3rd,1
7062345,English,Wisconsin,0,4th+,0
6783973,Chemical Engineering,Wisconsin,0,4th+,1
1318320,Civil Engineering,Iowa,14039,2nd,0
1560736,Software Engineering,South Dakota,13724,1st,0
8711668,English,Delaware,0,3rd,1
5738977,Medicine,Ohio,0,1st,1
7887409,Agriculture,Indiana,0,3rd,1
9512287,Health Science,Iowa,12994,3rd,0
1024897,Environmental Science,Pennsylvania,0,3rd,0
1515585,Social Work,Virginia,15703,1st,0
2510148,Nursing,Kansas,16917,4th+,1
3403026,Aerospace Engineering,Virginia,20441,1st,0
9601653,Fine Arts,Maryland,18692,4th+,0
9952825,Civil Engineering,Maine,11750,4th+,0
8966999,Architecture,Wisconsin,0,1st,1
7596756,Business Administration,Michigan,7562,4th+,0
4863320,Music,Delaware,0,4th+,1
1945793,Fine Arts,Illinois,7220,4th+,0
3775639,Dance,Tennessee,20217,3rd,1
1674275,Journalism,Missouri,9830,2nd,0
6684769,Art History,South Dakota,11291,1st,0
4131768,Business Administration,Kansas,22197,1st,1
5796649,Statistics,Pennsylvania,7428,1st,0
3594980,Business Administration,Tennessee,0,2nd,1
7847547,Sociology,Alabama,0,2nd,0
4838869,Criminal Justice,Indiana,6886,1st,1
4181643,Biology,Missouri,8584,3rd,0
4507783,Psychology,Nebraska,6073,1st,1
7709956,Architecture,Missouri,0,2nd,1
2061428,Mechanical Engineering,Kansas,22765,1st,1
9973723,Art History,New Hampshire,11057,4th+,0
2934079,Accounting,Michigan,22493,1st,0
8722915,Fine Arts,Ohio,0,4th+,1
8096679,Law,Iowa,0,2nd,1
8058110,Political Science,Michigan,0,1st,1
2943774,Pharmacy,North Dakota,11271,2nd,0
1272761,Industrial Engineering,Indiana,0,4th+,1
3246184,Education,North Dakota,15788,1st,0
4662165,Criminal Justice,Maryland,17586,2nd,0
5497046,Biology,Iowa,36957,1st,1
7784278,Business Administration,Indiana,0,2nd,1
5191207,Zoology,Wisconsin,12247,3rd,0
9095161,Psychology,Indiana,0,4th+,1
1161042,Architecture,Iowa,32238,3rd,0
2114227,Criminal Justice,Florida,29123,1st,0
1939779,Political Science,New Mexico,0,1st,1
8735678,Mechanical Engineering,South Dakota,16062,3rd,0
8378526,Nursing,Illinois,32821,2nd,0
9965755,Aerospace Engineering,North Dakota,20128,1st,0
7397060,Computer Engineering,Wisconsin,6895,1st,1
9082205,Software Engineering,Nebraska,4643,3rd,1
9831637,English,California,15084,1st,0
1953906,Law,Iowa,38402,3rd,0
5687537,Philosophy,North Dakota,5432,4th+,1
2023597,Accounting,North Dakota,19492,2nd,0
6474118,Health Science,Arizona,16208,4th+,0
9991420,Health Science,Colorado,36698,2nd,0
1641120,Biology,Michigan,12966,1st,0
5086732,Zoology,Arkansas,9851,1st,0
6048614,Fine Arts,South Dakota,17256,4th+,0
8291399,Accounting,Kansas,15384,2nd,1
1209066,Agriculture,Kansas,17002,2nd,0
9883184,Forestry,California,0,3rd,1
4582164,Information Technology,Nevada,26591,3rd,1
4503031,Civil Engineering,South Dakota,16647,1st,0
5643992,Aerospace Engineering,Wisconsin,0,4th+,1
6998359,Industrial Engineering,North Dakota,13944,2nd,1
8845082,Dance,,21806,1st,0
4290295,Health Science,Kentucky,15390,4th+,0
9109841,Zoology,New Hampshire,0,4th+,1
3691989,Statistics,Michigan,23287,2nd,0
3691211,Geology,Indiana,8537,1st,0
6769614,Education,Oregon,6020,1st,0
1608225,Electrical Engineering,Illinois,28600,4th+,1
9060462,Medicine,Louisiana,33319,3rd,0
1025770,Psychology,North Dakota,0,4th+,0
6815290,Computer Science,Tennessee,14890,4th+,0
5463223,Creative Writing,Missouri,24988,2nd,0
1850339,Health Science,South Dakota,0,1st,0
6453975,Accounting,Minnesota,0,3rd,0
7863203,Computer Science,New Jersey,0,1st,1
6338207,Pharmacy,Ohio,0,3rd,1
5782228,Psychology,Texas,7611,3rd,0
6163619,Mathematics,Minnesota,9486,4th+,0
3284607,Computer Engineering,New Hampshire,21163,4th+,0
7883558,Business Administration,Missouri,3637,2nd,0
1208246,Nursing,Arizona,11097,4th+,0
8518876,Pharmacy,Michigan,12081,4th+,1
7754981,Music,Minnesota,0,1st,1
5881226,Accounting,Colorado,0,1st,1
5390289,Hospitality Management,Vermont,17540,2nd,0
7899119,Biology,Colorado,32180,4th+,0
2954873,Social Work,Nebraska,35972,1st,0
8848791,Health Science,Minnesota,13434,1st,0
5039155,Fine Arts,Kansas,1527,1st,1
7998850,Political Science,New York,26058,1st,1
7105628,Criminal Justice,Iowa,0,4th+,1
6347357,Law,Indiana,0,3rd,0
8120334,Geology,New Mexico,26815,4th+,0
5119497,Creative Writing,Connecticut,11603,3rd,0
3784092,Aerospace Engineering,Minnesota,7763,1st,0
2534739,Anthropology,South Dakota,24754,2nd,0
3730540,Kinesiology,Minnesota,2226,4th+,1
3692243,Anthropology,Missouri,10951,4th+,1
7855870,Information Technology,Mississippi,0,3rd,1
9511854,History,Illinois,15294,1st,1
5370609,Theater Arts,Nebraska,26940,4th+,0
2289264,Aerospace Engineering,Indiana,25409,3rd,0
3068258,Criminal Justice,Illinois,582,2nd,0
4801520,Architecture,Minnesota,9967,1st,0
7313971,History,West Virginia,19081,2nd,0
6928733,Pharmacy,North Carolina,14154,4th+,1
6526451,Kinesiology,Idaho,0,1st,1
4034522,Civil Engineering,Minnesota,2476,1st,0
7315987,Industrial Engineering,Louisiana,0,3rd,1
4549936,Biology,North Dakota,13899,4th+,0
3719765,Hospitality Management,Nebraska,0,3rd,1
5510949,Philosophy,Nevada,18030,3rd,0
3615391,Veterinary Medicine,Nebraska,14990,3rd,0
7415576,History,Iowa,4294,1st,1
2900516,Computer Engineering,Indiana,6109,2nd,0
5520565,Agriculture,Missouri,10383,3rd,0
6742985,Pharmacy,South Dakota,9624,3rd,0
5839990,Kinesiology,Wisconsin,0,3rd,1
3277945,Industrial Engineering,New Hampshire,0,3rd,1
6201900,Information Technology,Massachusetts,15440,2nd,0
4393505,Environmental Science,Illinois,24815,1st,1
1732031,Software Engineering,Michigan,12599,3rd,0
7504833,Agriculture,New Hampshire,0,2nd,1
5705621,Art History,Illinois,23571,1st,1
8563563,Accounting,South Dakota,18052,4th+,1
4044876,Chemical Engineering,South Carolina,12059,2nd,0
4865744,Agriculture,Michigan,0,2nd,0
6906091,Fine Arts,Utah,15393,4th+,0
2472179,Economics,North Dakota,16545,1st,0
9207419,Chemistry,Michigan,0,1st,0
4291242,Electrical Engineering,Kansas,0,4th+,1
4069825,History,Oklahoma,6180,4th+,1
1397241,Physics,North Carolina,18724,2nd,0
5460606,Electrical Engineering,Illinois,14870,4th+,0
6271249,Biology,Illinois,12654,4th+,0
9043137,Electrical Engineering,Ohio,27784,4th+,0
4137430,Political Science,West Virginia,0,2nd,1
8415004,Social Work,Georgia,0,1st,1
1160065,Civil Engineering,North Dakota,0,1st,1
9632878,Chemistry,Indiana,4368,3rd,0
2531971,Mathematics,Ohio,3728,3rd,0
3166735,Physics,Delaware,19678,4th+,0
8286152,Environmental Science,North Dakota,0,1st,0
4814466,Theater Arts,Illinois,17659,3rd,1
5609085,Mechanical Engineering,Tennessee,4954,4th+,0
5267543,Law,Wisconsin,0,4th+,1
7758856,Anthropology,West Virginia,16182,1st,0
9027024,Marketing,Missouri,0,4th+,1
9276847,Forestry,Indiana,16351,1st,0
1626731,Theater Arts,Maine,4620,3rd,0
9456410,Information Technology,Virginia,19685,4th+,0
7607291,Information Technology,Iowa,0,2nd,1
7711384,Aerospace Engineering,Missouri,9753,4th+,1
4011248,Anthropology,Delaware,10990,4th+,0
6098109,Communication,California,8525,1st,0
3842248,Theater Arts,Ohio,20341,2nd,0
5656134,Biology,Minnesota,0,3rd,0
1273635,History,Louisiana,587,3rd,0
3616180,Religious Studies,Indiana,4262,2nd,0
1713453,Zoology,Michigan,15729,1st,0
8988207,Political Science,Michigan,32399,2nd,0
9399134,Forestry,Arizona,0,2nd,0
8031888,Mechanical Engineering,Kansas,29313,3rd,1
2806533,Electrical Engineering,Arkansas,0,3rd,1
3499301,Environmental Science,North Dakota,0,2nd,1
1758659,Biochemistry,Ohio,32955,2nd,1
1437117,Dentistry,Oklahoma,20998,2nd,1
7973420,Aerospace Engineering,Michigan,20747,3rd,0
3075358,Physics,Missouri,0,1st,1
9578531,Pharmacy,Indiana,9554,3rd,0
8108468,Mechanical Engineering,New York,24597,3rd,0
3622962,Law,South Dakota,6177,1st,1
7908872,Marketing,Nebraska,28574,2nd,0
1301632,Education,Wisconsin,30,4th+,0
6663260,Religious Studies,South Dakota,0,1st,1
8122033,Mechanical Engineering,New Jersey,5599,2nd,0
7328377,Communication,Kansas,14439,4th+,0
8945692,Veterinary Medicine,North Carolina,26101,3rd,0
2333378,Forestry,Indiana,31375,3rd,1
5414391,Dentistry,Kansas,10149,3rd,0
4875786,Forestry,New York,24273,2nd,0
4169702,Zoology,Kansas,21347,4th+,1
3397924,Business Administration,Ohio,0,2nd,1
1478858,Education,Colorado,5092,1st,0
9538683,Statistics,Georgia,10747,2nd,0
2561196,Hospitality Management,Pennsylvania,20139,3rd,1
5827081,Chemical Engineering,Kansas,0,3rd,0
6634617,Criminal Justice,Colorado,4319,4th+,0
1645379,Information Technology,Indiana,22504,4th+,0
9021210,Music,Missouri,13626,3rd,0
2715394,Computer Science,Missouri,23258,2nd,0
3222758,Hospitality Management,Wisconsin,0,4th+,1
7827479,Law,Washington,2636,4th+,1
8884070,Marketing,Delaware,0,3rd,1
5494525,Statistics,Oklahoma,6268,4th+,0
8049722,Architecture,Massachusetts,21095,1st,0
2247587,Music,Michigan,19104,4th+,0
8083372,Law,New Mexico,22517,3rd,0
5271697,Zoology,New Mexico,0,4th+,1
7573867,Environmental Science,Illinois,13286,4th+,0
1389765,Medicine,Massachusetts,22061,1st,0
8896095,Health Science,Texas,16727,1st,0
4711417,Chemistry,Illinois,15314,1st,0
8569046,Nursing,Colorado,7256,2nd,0
5494973,Theater Arts,South Dakota,0,4th+,1
2535316,Zoology,Nebraska,0,1st,1
3407445,Geography,Missouri,21683,3rd,0
4069085,Creative Writing,Texas,15152,2nd,0
2808288,Criminal Justice,Kansas,8340,1st,0
9495004,Chemical Engineering,Nebraska,24070,3rd,0
9152350,Computer Engineering,Nebraska,0,2nd,1
2520232,History,Mississippi,7863,2nd,0
1481972,Information Technology,,32402,3rd,0
6253407,Education,Illinois,1623,3rd,1
4490745,Environmental Science,South Dakota,20748,2nd,0
6737972,English,Tennessee,16393,1st,0
5982569,Medicine,North Dakota,0,2nd,1
1300333,Graphic Design,Nebraska,0,3rd,1
6827506,Pharmacy,South Dakota,10585,3rd,0
1983622,Aerospace Engineering,Nebraska,7246,4th+,0
2390855,Classics,Kansas,7661,4th+,0
3964999,Sociology,Minnesota,0,2nd,1
5806582,Architecture,New Hampshire,28266,4th+,0
7747335,Communication,South Carolina,0,3rd,1
3990642,Biology,North Dakota,30064,3rd,1
6077432,Health Science,South Dakota,14033,4th+,0
3190651,English,Illinois,5390,2nd,1
6182999,Dentistry,North Dakota,37639,2nd,0
5796731,Marketing,Illinois,18746,3rd,0
7974569,Chemistry,Wisconsin,4451,4th+,0
8300874,Geology,Georgia,8077,3rd,0
6169229,Anthropology,Iowa,6870,2nd,0
5395585,Journalism,Iowa,3988,1st,1
7711124,Chemical Engineering,Indiana,0,2nd,1
8502724,English,Ohio,18054,3rd,0
1226452,Software Engineering,Michigan,7202,2nd,1
7215518,Classics,Oklahoma,29326,3rd,0
3533376,Social Work,New Hampshire,8834,1st,0
7454012,Dance,Wisconsin,0,2nd,1
6643488,Computer Science,Michigan,5087,2nd,0
1941974,Psychology,Utah,21163,4th+,0
3283376,Nursing,Maryland,24932,3rd,0
3766384,History,Illinois,10609,4th+,0
9545176,Art History,New Hampshire,0,1st,0
4265974,Veterinary Medicine,Maryland,10377,3rd,1
8237587,Sociology,Illinois,30334,1st,0
4766233,Religious Studies,New Jersey,3071,2nd,0
8825796,Medicine,Delaware,2128,3rd,1
1117263,Statistics,Nebraska,18649,4th+,0
7011782,Philosophy,Tennessee,13879,2nd,0
4169456,Chemistry,Michigan,13961,2nd,0
8556092,Theater Arts,Michigan,11138,4th+,0
9850592,Geography,North Dakota,10235,1st,0
8825398,Statistics,Missouri,15092,4th+,1
6731325,Statistics,Minnesota,0,3rd,1
6580814,Law,Florida,0,1st,0
9633405,Physics,Georgia,12777,2nd,0
5628104,Political Science,New York,0,2nd,1
3753972,Geology,Wisconsin,12538,3rd,0
7570340,Industrial Engineering,Texas,0,4th+,1
1232092,Biology,New Hampshire,9359,2nd,0
9620966,Mechanical Engineering,Indiana,15036,1st,0
1430356,Education,New Hampshire,10875,3rd,1
7285193,Software Engineering,Michigan,25361,3rd,1
7350854,Computer Science,Minnesota,12482,3rd,0
1608428,Sociology,South Carolina,20018,2nd,0
5962143,Veterinary Medicine,Maine,9869,3rd,0
3192824,Dentistry,New Mexico,20375,4th+,0
3346885,Religious Studies,Louisiana,6489,4th+,0
3320642,Art History,North Dakota,0,1st,1
4000864,Information Technology,Wisconsin,0,1st,1
7479811,Pharmacy,Michigan,10361,2nd,0
5350535,Hospitality Management,Missouri,0,3rd,0
3670713,Physics,North Dakota,15372,2nd,1
4926509,Dance,Minnesota,26393,4th+,0
9592732,Electrical Engineering,Nebraska,25332,3rd,1
7449579,Creative Writing,Texas,17694,3rd,0
7239365,Biochemistry,Mississippi,0,1st,0
9634131,Dance,Virginia,23022,4th+,0
7960475,Education,California,0,2nd,1
6248900,Criminal Justice,Iowa,17125,1st,0
7542550,Mathematics,West Virginia,0,2nd,0
1009225,Health Science,Wisconsin,14700,2nd,0
6485070,Economics,Missouri,1867,1st,0
8358047,Statistics,Alabama,0,4th+,1
5092371,Health Science,Kentucky,13889,1st,0
6333600,Chemistry,West Virginia,7371,4th+,0
1443920,Mathematics,Kansas,8050,1st,0
3757606,Chemistry,Arizona,21709,1st,0
8874630,Chemical Engineering,Tennessee,19975,3rd,1
1604097,Education,Idaho,0,2nd,1
6233518,Architecture,Florida,19156,1st,0
2967421,Architecture,Arkansas,8722,2nd,0
1759622,Social Work,Pennsylvania,8760,1st,1
3830097,Geology,Ohio,14749,2nd,0
8367455,Software Engineering,Idaho,0,2nd,0
9770527,Biology,Oklahoma,0,2nd,1
7915066,Agriculture,Minnesota,24583,4th+,0
5595003,Geology,Illinois,0,3rd,1
7609076,Graphic Design,Florida,14018,1st,0
1553672,Law,Ohio,1930,2nd,0
4788214,History,New Hampshire,25438,1st,0
6016606,Religious Studies,North Carolina,21988,4th+,0
6409124,Zoology,Iowa,13959,3rd,0
6226856,Computer Engineering,Iowa,0,1st,1
3056375,Dance,Illinois,20968,3rd,1
7202771,Aerospace Engineering,North Dakota,16228,4th+,0
9772976,Education,North Dakota,28051,4th+,0
4045884,Zoology,Texas,22793,1st,0
7190273,Philosophy,Nebraska,0,2nd,1
1532958,Software Engineering,Illinois,1409,2nd,0
7880770,Social Work,Indiana,28256,4th+,0
9463391,Anthropology,Alabama,25102,2nd,0
7061449,Civil Engineering,Wisconsin,17293,3rd,0
9434125,Art History,North Dakota,28871,1st,1
6900108,Graphic Design,Iowa,0,1st,0
5207430,Psychology,Wisconsin,16657,4th+,0
3907596,Graphic Design,Illinois,20169,4th+,1
3073568,History,Oregon,20843,3rd,0
1668638,Electrical Engineering,Iowa,19503,1st,1
2257426,Law,Minnesota,0,3rd,1
4878190,Nutrition,Iowa,25349,1st,0
3760390,Architecture,South Carolina,11957,2nd,0
4619119,Social Work,Iowa,804,1st,1
